population	height_band_16	slope_band_0_10_25_40_55_90	block	count
side_north	10	-1	minecraft:diorite	72
side_north	10	-1	minecraft:dirt	3
side_north	10	-1	minecraft:granite	5
side_north	10	-1	minecraft:light_gray_terracotta	3
side_north	10	-1	minecraft:mud	88
side_north	10	-1	minecraft:packed_ice	29
side_north	10	-1	minecraft:pale_moss_block	195
side_north	10	-1	minecraft:pale_oak_wood	24
side_north	10	-1	minecraft:smooth_basalt	29
side_north	10	-1	minecraft:snow_block	264
side_north	10	-1	minecraft:stone	112
side_north	10	-1	minecraft:white_concrete_powder	173
side_north	11	-1	minecraft:acacia_wood	313
side_north	11	-1	minecraft:andesite	10
side_north	11	-1	minecraft:basalt	74
side_north	11	-1	minecraft:birch_wood	193
side_north	11	-1	minecraft:black_wool	4
side_north	11	-1	minecraft:blackstone	3
side_north	11	-1	minecraft:coarse_dirt	3
side_north	11	-1	minecraft:cobblestone	6
side_north	11	-1	minecraft:cyan_terracotta	232
side_north	11	-1	minecraft:diorite	166
side_north	11	-1	minecraft:light_gray_wool	2
side_north	11	-1	minecraft:mud	83
side_north	11	-1	minecraft:packed_ice	7
side_north	11	-1	minecraft:pale_moss_block	242
side_north	11	-1	minecraft:pale_oak_wood	104
side_north	11	-1	minecraft:smooth_basalt	36
side_north	11	-1	minecraft:snow_block	111
side_north	11	-1	minecraft:stone	120
side_north	11	-1	minecraft:tuff	2
side_north	11	-1	minecraft:white_concrete_powder	122
side_north	12	-1	minecraft:acacia_wood	230
side_north	12	-1	minecraft:andesite	2
side_north	12	-1	minecraft:basalt	9
side_north	12	-1	minecraft:birch_wood	253
side_north	12	-1	minecraft:blackstone	1
side_north	12	-1	minecraft:cobblestone	9
side_north	12	-1	minecraft:cyan_terracotta	86
side_north	12	-1	minecraft:diorite	134
side_north	12	-1	minecraft:light_gray_wool	3
side_north	12	-1	minecraft:mud	45
side_north	12	-1	minecraft:pale_moss_block	147
side_north	12	-1	minecraft:pale_oak_wood	74
side_north	12	-1	minecraft:smooth_basalt	11
side_north	12	-1	minecraft:snow_block	148
side_north	12	-1	minecraft:stone	207
side_north	12	-1	minecraft:tuff	2
side_north	12	-1	minecraft:white_concrete_powder	138
side_north	13	-1	minecraft:acacia_wood	70
side_north	13	-1	minecraft:basalt	1
side_north	13	-1	minecraft:birch_wood	222
side_north	13	-1	minecraft:blackstone	2
side_north	13	-1	minecraft:cobblestone	1
side_north	13	-1	minecraft:cyan_terracotta	112
side_north	13	-1	minecraft:diorite	121
side_north	13	-1	minecraft:light_gray_terracotta	2
side_north	13	-1	minecraft:light_gray_wool	3
side_north	13	-1	minecraft:mud	44
side_north	13	-1	minecraft:pale_moss_block	143
side_north	13	-1	minecraft:pale_oak_wood	43
side_north	13	-1	minecraft:smooth_basalt	6
side_north	13	-1	minecraft:snow_block	121
side_north	13	-1	minecraft:stone	140
side_north	13	-1	minecraft:white_concrete_powder	129
side_north	14	-1	minecraft:acacia_wood	157
side_north	14	-1	minecraft:basalt	8
side_north	14	-1	minecraft:birch_wood	110
side_north	14	-1	minecraft:blackstone	2
side_north	14	-1	minecraft:cobblestone	3
side_north	14	-1	minecraft:cyan_terracotta	81
side_north	14	-1	minecraft:diorite	100
side_north	14	-1	minecraft:light_gray_wool	51
side_north	14	-1	minecraft:mud	64
side_north	14	-1	minecraft:pale_moss_block	112
side_north	14	-1	minecraft:pale_oak_wood	31
side_north	14	-1	minecraft:smooth_basalt	5
side_north	14	-1	minecraft:snow_block	140
side_north	14	-1	minecraft:stone	189
side_north	14	-1	minecraft:white_concrete_powder	61
side_north	15	-1	minecraft:acacia_wood	60
side_north	15	-1	minecraft:basalt	6
side_north	15	-1	minecraft:birch_wood	110
side_north	15	-1	minecraft:cobblestone	1
side_north	15	-1	minecraft:cyan_terracotta	25
side_north	15	-1	minecraft:diorite	39
side_north	15	-1	minecraft:light_gray_wool	37
side_north	15	-1	minecraft:mud	3
side_north	15	-1	minecraft:pale_moss_block	65
side_north	15	-1	minecraft:pale_oak_wood	2
side_north	15	-1	minecraft:snow_block	121
side_north	15	-1	minecraft:stone	83
side_north	15	-1	minecraft:white_concrete_powder	132
side_north	2	-1	minecraft:acacia_wood	463
side_north	2	-1	minecraft:andesite	5
side_north	2	-1	minecraft:basalt	99
side_north	2	-1	minecraft:black_wool	6
side_north	2	-1	minecraft:blackstone	39
side_north	2	-1	minecraft:cobblestone	49
side_north	2	-1	minecraft:cyan_terracotta	343
side_north	2	-1	minecraft:diamond_block	7
side_north	2	-1	minecraft:dirt	3
side_north	2	-1	minecraft:grass_block	291
side_north	2	-1	minecraft:gray_wool	16
side_north	2	-1	minecraft:light_gray_wool	32
side_north	2	-1	minecraft:moss_block	139
side_north	2	-1	minecraft:mud	207
side_north	2	-1	minecraft:pale_moss_block	507
side_north	2	-1	minecraft:pale_oak_wood	101
side_north	2	-1	minecraft:smooth_basalt	127
side_north	2	-1	minecraft:stone	471
side_north	2	-1	minecraft:tuff	1
side_north	2	-1	minecraft:white_concrete	8
side_north	3	-1	minecraft:acacia_wood	700
side_north	3	-1	minecraft:andesite	18
side_north	3	-1	minecraft:basalt	44
side_north	3	-1	minecraft:black_wool	29
side_north	3	-1	minecraft:blackstone	14
side_north	3	-1	minecraft:cobblestone	31
side_north	3	-1	minecraft:cyan_terracotta	358
side_north	3	-1	minecraft:grass_block	111
side_north	3	-1	minecraft:gray_wool	8
side_north	3	-1	minecraft:light_gray_wool	15
side_north	3	-1	minecraft:moss_block	135
side_north	3	-1	minecraft:mud	308
side_north	3	-1	minecraft:pale_moss_block	535
side_north	3	-1	minecraft:pale_oak_wood	106
side_north	3	-1	minecraft:smooth_basalt	122
side_north	3	-1	minecraft:stone	810
side_north	3	-1	minecraft:tuff	14
side_north	4	-1	minecraft:acacia_wood	737
side_north	4	-1	minecraft:andesite	7
side_north	4	-1	minecraft:basalt	131
side_north	4	-1	minecraft:birch_wood	3
side_north	4	-1	minecraft:blackstone	60
side_north	4	-1	minecraft:cobblestone	30
side_north	4	-1	minecraft:cyan_terracotta	429
side_north	4	-1	minecraft:diorite	2
side_north	4	-1	minecraft:dirt	3
side_north	4	-1	minecraft:dripstone_block	11
side_north	4	-1	minecraft:grass_block	48
side_north	4	-1	minecraft:gray_wool	8
side_north	4	-1	minecraft:light_gray_wool	33
