population	state	count
actual_undercoat	minecraft:gravel	14
actual_undercoat	minecraft:gray_wool	326
actual_undercoat	minecraft:iron_ore	24
actual_undercoat	minecraft:light_gray_terracotta	48
actual_undercoat	minecraft:light_gray_wool	1431
actual_undercoat	minecraft:moss_block	10467
actual_undercoat	minecraft:mud	4842
actual_undercoat	minecraft:netherrack	4
actual_undercoat	minecraft:packed_mud	27
actual_undercoat	minecraft:pale_moss_block	16823
actual_undercoat	minecraft:pale_oak_wood{axis=x}	13
actual_undercoat	minecraft:pale_oak_wood{axis=y}	2272
actual_undercoat	minecraft:pale_oak_wood{axis=z}	27
actual_undercoat	minecraft:smooth_basalt	1281
actual_undercoat	minecraft:stone	24278
actual_undercoat	minecraft:tuff	206
actual_snow_surface	minecraft:acacia_wood{axis=y}	11570
actual_snow_surface	minecraft:acacia_wood{axis=z}	7
actual_snow_surface	minecraft:andesite	1577
actual_snow_surface	minecraft:basalt{axis=y}	1998
actual_snow_surface	minecraft:black_wool	60
actual_snow_surface	minecraft:blackstone	465
actual_snow_surface	minecraft:coal_ore	16
actual_snow_surface	minecraft:coarse_dirt	18
actual_snow_surface	minecraft:cobblestone	14390
actual_snow_surface	minecraft:cyan_terracotta	7860
actual_snow_surface	minecraft:diamond_block	290
actual_snow_surface	minecraft:dirt	461
actual_snow_surface	minecraft:dripstone_block	41
actual_snow_surface	minecraft:granite	10
actual_snow_surface	minecraft:grass_block{snowy=false}	21340
actual_snow_surface	minecraft:grass_block{snowy=true}	6
actual_snow_surface	minecraft:gravel	13
actual_snow_surface	minecraft:gray_wool	325
actual_snow_surface	minecraft:iron_ore	17
actual_snow_surface	minecraft:light_gray_terracotta	48
actual_snow_surface	minecraft:light_gray_wool	1427
actual_snow_surface	minecraft:moss_block	10467
actual_snow_surface	minecraft:mud	4839
actual_snow_surface	minecraft:netherrack	4
actual_snow_surface	minecraft:packed_mud	27
actual_snow_surface	minecraft:pale_moss_block	16797
actual_snow_surface	minecraft:pale_oak_wood{axis=x}	13
actual_snow_surface	minecraft:pale_oak_wood{axis=y}	2269
actual_snow_surface	minecraft:pale_oak_wood{axis=z}	27
actual_snow_surface	minecraft:smooth_basalt	1280
actual_snow_surface	minecraft:snow[layers=1]	743
actual_snow_surface	minecraft:snow[layers=2]	739
actual_snow_surface	minecraft:snow[layers=3]	584
actual_snow_surface	minecraft:snow[layers=4]	526
actual_snow_surface	minecraft:snow[layers=5]	475
actual_snow_surface	minecraft:snow[layers=6]	376
actual_snow_surface	minecraft:snow[layers=7]	323
actual_snow_surface	minecraft:snow[layers=8]	176
actual_snow_surface	minecraft:stone	23305
actual_snow_surface	minecraft:tuff	206
